matchid,season,Date,Time,HomeTeam,AwayTeam,league,FTHG,FTAG,FTgoals,HTHG,HTAG,htgoals,HS,AS,HST,AST,totalshotontarget,HF,AF,HC,AC,total corner,HY,AY,HR,AR,round,home_team_rank,away_team_rank,homeform,awayform,home_team_rolling_avg_goals_conceded,away_team_rolling_avg_goals_conceded,home_team_rolling_avg_goals,away_team_rolling_avg_goals,home_rankclass,away_rankclass,homeform_class,awayform_class,hometeamplayingstyle,awayteamplayingstyle,hometeamrating,awayteamrating,homeratingclass,awayratingclass,versusplayingstyle,versusteamrating,versustableclass,versusformclass,fifatopteamlocation,Month,goalcycle,home_goal_class,away_conceded_class,home_goal_away_conceded_class,overtwo,,odds,stake,capital,return,actual return ,market movement
Match-1,2024/2025,17/08/2024,17:30,Genoa,Inter,Serie A,2,2,4,1,1,2,10,14,6,9,15,15,14,1,4,5,1,2,0,0,1,7,8,0,0,0,0,0,0,eurospot,eurospot,low,low,compactplay,compactplay,73,84,low,top,compactplayVcompactplay,lowVtop,topfourVtopfour,midVtop,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9800
Match-2,2024/2025,17/08/2024,17:30,Parma,Fiorentina,Serie A,1,1,2,1,0,1,13,14,5,7,12,15,9,4,9,13,3,2,0,1,1,15,6,0,0,0,0,0,0,bottom,eurospot,low,low,Defensive,possessionplay,72,77,low,mid,DefensiveVpossessionplay,lowVmid,midtableVeurospot,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,9914
Match-3,2024/2025,17/08/2024,19:45,Empoli,Monza,Serie A,0,0,0,0,0,0,9,4,1,1,2,16,19,7,3,10,0,2,0,0,1,5,13,0,0,0,0,0,0,eurospot,midtable,low,low,possessionplay,directplay,72,71,low,low,possessionplayVdirectplay,lowVlow,midtableVtopfour,midVmid,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,10028
Match-4,2024/2025,17/08/2024,19:45,Milan,Torino,Serie A,2,2,4,0,1,1,20,6,6,3,9,10,7,9,2,11,2,4,0,0,1,12,17,0,0,0,0,0,0,midtable,bottom,low,low,highpressing,compactplay,83,75,top,mid,highpressingVcompactplay,topVmid,topfourVmidtable,topVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9828
Match-5,2024/2025,18/08/2024,17:30,Bologna,Udinese,Serie A,1,1,2,0,0,0,22,4,7,2,9,15,13,7,5,12,0,4,0,0,1,2,18,0,0,0,0,0,0,topfour,bottom,low,low,directplay,Defensive,75,75,mid,mid,directplayVDefensive,midVmid,midtableVmidtable,midVmid,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,9942
Match-6,2024/2025,18/08/2024,17:30,Verona,Napoli,Serie A,3,0,3,0,0,0,8,15,5,5,10,15,13,1,5,6,4,1,0,0,1,20,14,0,0,0,0,0,0,bottom,midtable,low,low,highpressing,highpressing,73,82,low,top,highpressingVhighpressing,lowVtop,midtableVtopfour,midVtop,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9742
Match-7,2024/2025,18/08/2024,19:45,Cagliari,Roma,Serie A,0,0,0,0,0,0,12,13,2,3,5,15,7,5,3,8,2,0,0,0,1,3,16,0,0,0,0,0,0,topfour,bottom,low,low,compactplay,possessionplay,73,81,low,top,compactplayVpossessionplay,lowVtop,eurospotVeurospot,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,9856
Match-8,2024/2025,18/08/2024,19:45,Lazio,Venezia,Serie A,3,1,4,2,1,3,13,11,6,3,9,14,11,6,3,9,1,2,0,0,1,10,19,0,0,0,0,0,0,midtable,bottom,low,low,directplay,possessionplay,80,69,top,low,directplayVpossessionplay,topVlow,eurospotVeurospot,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9656
Match-9,2024/2025,19/08/2024,17:30,Lecce,Atalanta,Serie A,0,4,4,0,2,2,19,10,5,6,11,10,24,5,3,8,0,2,0,0,1,11,1,0,0,0,0,0,0,midtable,topfour,low,low,Defensive,highpressing,70,81,low,top,DefensiveVhighpressing,lowVtop,topfourVeurospot,midVmid,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9456
Match-10,2024/2025,19/08/2024,19:45,Juventus,Como,Serie A,3,0,3,2,0,2,12,1,9,1,10,12,6,3,0,3,2,4,0,0,1,9,4,0,0,0,0,0,0,midtable,topfour,low,low,directplay,Defensive,83,68,top,low,directplayVDefensive,topVlow,topfourVmidtable,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,9256
